Merchant statement

Report type,Transactions search results
Location(s) searched,All locations
Date range,22/06/2023 - 22/06/2023
Generated,23/06/2023 12:52:07 pm

Transactions

Transaction date,Settlement date,Submitting merchant number,Charge amount,Settlement amount,Submitting location ID,Card member number,Charge reference number,Airline ticket number,Adjustment type,Auth Type,Approval code,Type,Terminal ID,Acquirer Reference Number
22/6/2023,23/6/2023,8008038176,"INR 35,995.00","INR 157,115.45",,376914XXXXX1000,53,,,Y,,Sale,72321164,I01NFMM18570XU0000006P8
22/6/2023,23/6/2023,9820085538,"INR 21,350.00","INR 20,896.53",,379867XXXXX2011,33,,,Y,,Sale,72320756,I02NFN004210YY0000005QM
22/6/2023,23/6/2023,9826760894,"INR 19,000.00","INR 18,596.44",,376913XXXXX2004,407,,,Y,,Sale,72259793,I02NFMF52580XY0000000UC
22/6/2023,23/6/2023,9826975633,"INR 9,937.50","INR 239,408.72",,379854XXXXX1006,429,,,Y,,Sale,72277983,I01NFMM18570XU0000004LK
22/6/2023,23/6/2023,8110201027,"INR 22,700.00","INR 122,540.76",,379862XXXXX2001,000389,,,Y,,Sale,30S07053,I02NFMN36050YW00000007P
22/6/2023,23/6/2023,9824559702,"INR 70,000.00","INR 104,311.35",,379854XXXXX1002,000366,,,Y,,Sale,30S07040,I02NFMN36050YW00000005W
22/6/2023,23/6/2023,8008038176,"INR 64,530.00","INR 157,115.45",,376913XXXXX2000,55,,,Y,,Sale,72321164,I01NFMM18570XU0000006PA
22/6/2023,23/6/2023,9826975633,"INR 24,750.00","INR 239,408.72",,374432XXXXX1006,431,,,Y,,Sale,72277983,I01NFMM18570XU0000004LM
22/6/2023,23/6/2023,9826975633,"INR 7,650.00","INR 239,408.72",,373009XXXXX1009,316,,,Y,,Sale,72277972,I01NFMM18570XU0000004LQ
22/6/2023,23/6/2023,8366203743,"INR 3,425.00","INR 3,352.25",,376936XXXXX1000,000191,,,Y,,Sale,30S30250,I02NFMN36050YW00000000J
22/6/2023,23/6/2023,9824559702,"INR 27,000.00","INR 104,311.35",,379854XXXXX1005,000495,,,Y,,Sale,30S07039,I02NFMN36050YW00000005Y
22/6/2023,23/6/2023,9821501475,"INR 30,450.00","INR 35,186.42",,379872XXXXX1000,314,,,Y,,Sale,72277592,I01NFMM18570XU0000005LF
22/6/2023,23/6/2023,9826975633,"INR 2,000.00","INR 239,408.72",,379854XXXXX1016,428,,,Y,,Sale,72277983,I01NFMM18570XU0000004LJ
22/6/2023,23/6/2023,8008038176,"INR 60,000.00","INR 157,115.45",,379854XXXXX1004,54,,,Y,,Sale,72321164,I01NFMM18570XU0000006P9
22/6/2023,23/6/2023,8362840308,"INR 12,000.00","INR 11,745.12",,379877XXXXX1001,132,,,Y,,Sale,72267340,I02NFN004210YY00000048G
22/6/2023,23/6/2023,9826975633,"INR 10,500.00","INR 239,408.72",,379854XXXXX1007,430,,,Y,,Sale,72277983,I01NFMM18570XU0000004LL
22/6/2023,23/6/2023,9826975633,"INR 91,350.00","INR 239,408.72",,376533XXXXX1003,315,,,Y,,Sale,72277972,I01NFMM18570XU0000004LP
22/6/2023,23/6/2023,8366204303,"INR 5,000.00","INR 4,893.80",,376934XXXXX2028,000233,,,Y,,Sale,30S47426,I02NFMN36050YW0000000DA
22/6/2023,23/6/2023,9824559702,"INR 9,575.00","INR 104,311.35",,376913XXXXX2002,000365,,,Y,,Sale,30S07040,I02NFMN36050YW00000005X
22/6/2023,23/6/2023,8110201027,"INR 102,500.00","INR 122,540.76",,379854XXXXX1021,000388,,,Y,,Sale,30S07053,I02NFMN36050YW00000007Q
22/6/2023,23/6/2023,9820079523,"INR 44,550.00","INR 43,603.76",,376913XXXXX1018,1288,,,Y,,Sale,72097131,I02NFN004210YY0000001A1
22/6/2023,23/6/2023,9821501475,"INR 5,500.00","INR 35,186.42",,373009XXXXX1005,313,,,Y,,Sale,72277592,I01NFMM18570XU0000005LE
22/6/2023,23/6/2023,9826975633,"INR 22,000.00","INR 239,408.72",,379854XXXXX1003,432,,,Y,,Sale,72277983,I01NFMM18570XU0000004LN
22/6/2023,23/6/2023,9826975633,"INR 76,410.00","INR 239,408.72",,379877XXXXX1003,317,,,Y,,Sale,72277972,I01NFMM18570XU0000004LR

